category,subcategory,skus,inventory_capital,gross_profit_12m,upside,sales_units_12m,revenue_12m,inventory_roic,capital_share,upside_pct_of_capital
Bikes,Road Bikes,43,6927375.9819,1182120.5447110003,2400477.9476805143,14501,13779554.201011,0.17064477917752274,0.3603160190948356,0.34652052291553626
Bikes,Mountain Bikes,32,4771083.8883,3349815.5299920007,1497072.0655652964,12572,14191948.940292,0.7021078665597691,0.2481600475983204,0.31378028569913136
Bikes,Touring Bikes,22,2925192.6621999997,372853.3707220004,1114655.515743083,13861,13618940.339922,0.12746284220526596,0.15214906450627572,0.3810537097767656
Components,Mountain Frames,6,1671963.0595,55842.474220000004,761115.1649717145,1125,640377.02822,0.03339934689508013,0.08696439679998853,0.45522247674498606
Components,Wheels,14,1059724.1329,493.13599999999997,517311.20237298595,8,1232.84,0.0004653437481417952,0.0551198003259709,0.48815647989192446
Components,Road Frames,1,287310.4688,-1439.9487999999983,141826.11401593836,356,127055.688,-0.005011821553228409,0.014943979456690817,0.4936336451932947
Components,Cranksets,3,337989.7228,48735.587392000016,116413.56733413645,1019,187881.813792,0.144192512684294,0.017579977141772094,0.3444293109557722
Components,Forks,3,217323.2279,0.0,106188.87193584372,0,0.0,0.0,0.011303708725838593,0.48862182364006623
Clothing,Jerseys,7,48445.135200000004,-76704.02785099995,102553.52305253103,14377,501071.80924900004,-1.5833174483740515,0.002519793686005114,2.1169003374467006
Components,Handlebars,8,216164.3481,21555.605155999998,84067.01281858809,1854,83300.477256,0.09971859534407652,0.011243431507273232,0.3889032282959897
Components,Headsets,3,89924.6406,0.0,43939.14188014954,0,0.0,0.0,0.004677281643754378,0.48862182364006623
Components,Bottom Brackets,3,108515.924,12594.6116,40428.63707886683,859,48440.946,0.1160623356992288,0.00564427654081995,0.37255948794083743
Components,Saddles,9,102600.36,13109.808436000003,37022.96657332731,1930,50530.402136,0.12777546234730564,0.005336588250657862,0.36084636129276065
Components,Pedals,7,128244.26640000001,34964.89649199999,28559.625366136228,3582,134750.434492,0.27264296076163597,0.006670413683582367,0.22269709335041452
Components,Derailleurs,2,80327.4102,16903.075800000006,22346.64986020765,1087,65423.319800000005,0.21042724716151756,0.004178097557153742,0.27819457647854867
Components,Brakes,2,70456.14,15748.581000000004,18677.826613439807,955,60906.711,0.2235231876171474,0.0036646597430136253,0.2650986360229188
Clothing,Shorts,7,37606.330799999996,125573.671211,8677.303285642594,7236,314982.51721099997,3.3391630754628157,0.0019560311786199665,0.23074049238652644
Clothing,Bib-Shorts,3,12027.1716,256.47119999999995,5620.267320424013,12,701.9219999999999,0.021324315352746773,0.0006255734643543738,0.4672975082873194
Clothing,Tights,2,11136.024,480.87269999999995,4960.431654979545,27,1316.0745,0.04318172266870114,0.0005792218939333543,0.4454401009713651
Accessories,Lights,3,7437.636,0.0,3634.191265891008,0,0.0,0.0,0.0003868563510914576,0.48862182364006623
Accessories,Pumps,2,5714.7408000000005,0.0,2792.3470713262914,0,0.0,0.0,0.0002972428031328069,0.48862182364006623
Clothing,Gloves,5,8374.7196,22505.502412,2219.2591704902807,2447,45107.145912,2.687314141478838,0.00043559720667563074,0.26499504180298533
Accessories,Panniers,1,3712.5,0.0,1814.0085202637458,0,0.0,0.0,0.0001930995552117684,0.48862182364006623
Accessories,Locks,1,2598.75,4.6875,1265.118464184622,1,15.0,0.0018037518037518038,0.0001351696886482379,0.4868180718363144
Clothing,Caps,1,1993.6224,93.37823100000242,880.7491817376831,4711,32704.333531,0.04683847402597524,0.00010369497608086686,0.441783349614091
Clothing,Socks,4,3160.5768,9122.342902,657.1644946529877,3748,21724.243302000003,2.8862905346897443,0.0001643921816276456,0.20792549469229407
Components,Chains,1,5293.1074,2295.7857440000007,290.5420465107286,734,8891.950144,0.43373118482349343,0.00027531223828366867,0.05489063881657277
Clothing,Vests,3,15389.351999999999,92809.55530000002,0.0,6167,239269.63830000002,6.030764342774148,0.0008004517242282392,0.0
Accessories,Tires and Tubes,11,43497.8102,151680.11953199998,0.0,17688,242624.901632,3.487074839735265,0.0022624667480958716,0.0
Accessories,Hydration Packs,1,2221.1603999999998,46476.554202,0.0,2574,99414.210402,20.924447510409426,0.0001155299893047794,0.0
Accessories,Bottles and Cages,3,2635.7472,36920.623852,0.0,10077,61862.424952,14.007649842898438,0.00013709403689445492,0.0
Accessories,Helmets,3,10835.4564,181081.83133000002,0.0,12027,338470.76143,16.711970834011204,0.000563588366695356,0.0
Accessories,Fenders,1,887.814,28495.924500000005,0.0,2071,45520.58,32.09672803087134,4.617817872344268e-05,0.0
Accessories,Cleaners,1,107.03880000000001,8097.003449999998,0.0,3072,17230.98105,75.64549910873438,5.567446375865707e-06,0.0
Accessories,Bike Stands,1,8563.104,24385.83,0.0,245,38955.0,2.84777926322044,0.0004453957100692565,0.0
