decision,sku_id,sku_name,category_name,subcategory_name,inventory_capital,inventory_units,unit_cost,unit_price,unit_margin,units_12m,revenue_12m,inventory_return_12m,inventory_roic,days_inventory,top_capital_flag
HOLD,747,"HL Mountain Frame - Black, 38",Components,Mountain Frames,616360.194,834.0,739.041,809.76,70.71899999999994,250.0,202440.0,17679.749999999985,0.02868412037653422,0.0,True
HOLD,748,"HL Mountain Frame - Silver, 38",Components,Mountain Frames,551433.7476,738.0,747.2002,818.7,71.49980000000005,453.0,370871.1,32389.409400000022,0.05873671958049022,0.0,True
EXIT,750,"Road-150 Red, 44",Bikes,Road Bikes,484198.60659999994,223.0,2171.2942,,,,,,,0.0,True
EXIT,776,"Mountain-100 Black, 42",Bikes,Mountain Bikes,368230.3136,194.0,1898.0944,,,,,,,0.0,True
EXIT,753,"Road-150 Red, 56",Bikes,Road Bikes,353920.9546,163.0,2171.2942,,,,,,,0.0,True
HOLD,792,"Road-250 Red, 58",Bikes,Road Bikes,352973.17329999997,227.0,1554.9479,1750.862864,195.91496400000005,398.0,696843.42,77974.15567200002,0.22090674751003814,0.0,True
EXIT,774,"Mountain-100 Silver, 48",Bikes,Mountain Bikes,313593.32159999997,164.0,1912.1544,,,,,,,0.0,True
EXIT,751,"Road-150 Red, 48",Bikes,Road Bikes,303981.18799999997,140.0,2171.2942,,,,,,,0.0,True
EXIT,773,"Mountain-100 Silver, 44",Bikes,Mountain Bikes,302120.39519999997,158.0,1912.1544,,,,,,,0.0,True
EXIT,775,"Mountain-100 Black, 38",Bikes,Mountain Bikes,294204.632,155.0,1898.0944,,,,,,,0.0,True
EXIT,772,"Mountain-100 Silver, 42",Bikes,Mountain Bikes,292559.6232,153.0,1912.1544,,,,,,,0.0,True
HOLD,795,"Road-250 Black, 52",Bikes,Road Bikes,292330.20519999997,188.0,1554.9479,1708.910547,153.96264700000006,511.0,873253.29,78674.91261700004,0.26913028902769043,0.0,True
EXIT,778,"Mountain-100 Black, 48",Bikes,Mountain Bikes,290408.4432,153.0,1898.0944,,,,,,,0.0,True
EXIT,749,"Road-150 Red, 62",Bikes,Road Bikes,288782.1286,133.0,2171.2942,,,,,,,0.0,True
